week,date,prospect_site,domain,category,priority,contact_name,contact_role,contact_email,contact_url,pitch_type,asset_pitched,email_subject,status,last_contact_date,follow_up_date,response_type,outcome,link_url,notes
1,,BarBend,barbend.com,Strength Media,High,,,,https://barbend.com/contact-us/,Expert quote + data insight,AI Workout Planning Framework,,Not Contacted,,,,,,
1,,Breaking Muscle,breakingmuscle.com,Strength Media,High,,,,https://breakingmuscle.com/contact/,Guest contribution,12-Week Progression Blueprint,,Not Contacted,,,,,,
1,,T NATION,t-nation.com,Strength Media,High,,,,https://www.t-nation.com,Expert commentary pitch,Home Gym Compatibility Guide,,Not Contacted,,,,,,
1,,Garage Gym Reviews,garagegymreviews.com,Home Gym Publication,High,,,,https://www.garagegymreviews.com/contact-us,Tool/resource mention,Home Gym Compatibility Guide,,Not Contacted,,,,,,
1,,Juggernaut Training Systems,juggernautai.app/blogs,Strength Coaching Brand,High,,,,https://www.jtsstrength.com/contact/,Guest contribution,12-Week Progression Blueprint,,Not Contacted,,,,,,
2,,PowerliftingTechnique,powerliftingtechnique.com,Strength Education Site,High,,,,https://powerliftingtechnique.com/contact/,Tool roundup inclusion,Strength Progression Calculator,,Not Contacted,,,,,,
2,,Morning Chalk Up,morningchalkup.com,Fitness News,High,,,,https://morningchalkup.com/contact/,Data trend pitch,Training Consistency Data Post,,Not Contacted,,,,,,
2,,Muscle and Fitness,muscleandfitness.com,Fitness Media,Medium,,,,https://www.muscleandfitness.com/contact-us/,Resource inclusion,Strength Progression Calculator,,Not Contacted,,,,,,
2,,Mens Health Fitness,menshealth.com/fitness,Fitness Media,Medium,,,,https://www.menshealth.com/about/a19547452/contact-us/,Data trend story,Training Consistency Data Post,,Not Contacted,,,,,,
2,,STACK,stack.com,Training Media,Medium,,,,https://www.stack.com/contact/,Practical training article,12-Week Progression Blueprint,,Not Contacted,,,,,,
3,,,,,,,,,,,,Not Contacted,,,,,,,
3,,,,,,,,,,,,Not Contacted,,,,,,,
3,,,,,,,,,,,,Not Contacted,,,,,,,
3,,,,,,,,,,,,Not Contacted,,,,,,,
3,,,,,,,,,,,,Not Contacted,,,,,,,
4,,,,,,,,,,,,Not Contacted,,,,,,,
4,,,,,,,,,,,,Not Contacted,,,,,,,
4,,,,,,,,,,,,Not Contacted,,,,,,,
4,,,,,,,,,,,,Not Contacted,,,,,,,
4,,,,,,,,,,,,Not Contacted,,,,,,,
5,,,,,,,,,,,,Not Contacted,,,,,,,
5,,,,,,,,,,,,Not Contacted,,,,,,,
5,,,,,,,,,,,,Not Contacted,,,,,,,
5,,,,,,,,,,,,Not Contacted,,,,,,,
5,,,,,,,,,,,,Not Contacted,,,,,,,
6,,,,,,,,,,,,Not Contacted,,,,,,,
6,,,,,,,,,,,,Not Contacted,,,,,,,
6,,,,,,,,,,,,Not Contacted,,,,,,,
6,,,,,,,,,,,,Not Contacted,,,,,,,
6,,,,,,,,,,,,Not Contacted,,,,,,,
